exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,causalmorph_mean_shd,causalmorph_mean_norm_shd,causalmorph_mean_f1,causalmorph_mean_precision,causalmorph_mean_recall,causalmorph_cons_norm_shd,causalmorph_cons_f1,directlingam_mean_shd,directlingam_mean_norm_shd,directlingam_mean_f1,directlingam_mean_precision,directlingam_mean_recall,directlingam_cons_norm_shd,directlingam_cons_f1,icalingam_mean_shd,icalingam_mean_norm_shd,icalingam_mean_f1,icalingam_mean_precision,icalingam_mean_recall,icalingam_cons_norm_shd,icalingam_cons_f1,status,error_msg
46,1777522743,4,5,3632,4,1,0.4,1.0,0.25,1,0,3,2,0.5,0.042,0.834,0.75,1.0,11,0.917,0.154,0.083,1.0,0.5,0.042,0.834,0.75,1.0,0.917,0.154,4.5,0.375,0.0,0.0,0.0,0.917,0.154,5.0,0.416,0.0,0.0,0.0,0.917,0.154,ok,
47,1777522744,4,5,3474,4,4,0.5,0.5,0.5,2,2,2,5,2.2,0.183,0.613,0.6,0.633,3,0.25,0.667,0.5,1.0,2.0,0.167,0.661,0.633,0.7,0.25,0.667,3.6,0.3,0.2,0.2,0.2,0.333,0.5,4.2,0.35,0.08,0.067,0.1,0.5,0.25,ok,
48,1777522745,4,5,3859,4,2,0.6667,1.0,0.5,2,0,2,3,1.333,0.111,0.333,0.333,0.333,3,0.25,0.0,0.0,0.0,1.333,0.111,0.333,0.333,0.333,0.25,0.0,2.667,0.222,0.0,0.0,0.0,0.417,0.0,2.667,0.222,0.0,0.0,0.0,0.417,0.0,ok,
49,1777522746,4,5,3381,4,5,0.6667,0.6,0.75,3,2,1,6,2.167,0.181,0.517,0.472,0.583,7,0.583,0.222,0.143,0.5,2.167,0.181,0.522,0.486,0.583,0.583,0.222,3.833,0.319,0.067,0.056,0.083,0.5,0.25,4.167,0.347,0.0,0.0,0.0,0.417,0.286,ok,
50,1777522747,4,5,3468,4,2,0.6667,1.0,0.5,2,0,2,3,2.667,0.222,0.278,0.278,0.278,4,0.333,0.333,0.333,0.333,2.667,0.222,0.278,0.278,0.278,0.333,0.333,4.0,0.333,0.167,0.111,0.333,0.5,0.25,4.667,0.389,0.0,0.0,0.0,0.583,0.0,ok,
51,1777522748,4,5,3442,4,1,0.4,1.0,0.25,1,0,3,2,2.5,0.208,0.5,0.5,0.5,9,0.75,0.4,0.25,1.0,2.5,0.208,0.5,0.5,0.5,0.75,0.4,4.0,0.334,0.0,0.0,0.0,0.75,0.4,4.0,0.334,0.0,0.0,0.0,0.75,0.4,ok,
52,1777522749,4,5,3835,4,1,0.4,1.0,0.25,1,0,3,2,3.5,0.292,0.536,0.5,0.584,6,0.5,0.667,0.5,1.0,3.5,0.292,0.536,0.5,0.584,0.5,0.667,6.5,0.542,0.286,0.25,0.334,0.5,0.667,8.5,0.708,0.0,0.0,0.0,0.5,0.667,ok,
53,1777522750,4,5,3561,4,2,0.3333,0.5,0.25,1,1,3,3,3.0,0.25,0.411,0.444,0.389,3,0.25,0.571,0.5,0.667,3.0,0.25,0.411,0.444,0.389,0.25,0.571,5.0,0.417,0.133,0.111,0.167,0.5,0.25,5.667,0.472,0.0,0.0,0.0,0.583,0.0,ok,
54,1777522751,4,5,3240,4,2,0.6667,1.0,0.5,2,0,2,3,2.667,0.222,0.584,0.544,0.683,1,0.083,0.909,0.833,1.0,2.333,0.194,0.614,0.611,0.683,0.083,0.909,6.0,0.5,0.148,0.133,0.167,0.5,0.571,7.333,0.611,0.0,0.0,0.0,0.75,0.182,ok,
55,1777522752,4,5,3389,4,1,0.4,1.0,0.25,1,0,3,2,1.0,0.084,0.5,0.5,0.5,11,0.917,0.154,0.083,1.0,1.0,0.084,0.5,0.5,0.5,0.917,0.154,2.5,0.209,0.0,0.0,0.0,0.917,0.154,2.5,0.209,0.0,0.0,0.0,0.917,0.154,ok,
